epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,129.346,0.4354,0.80914,1,0.45801,0.000473319,0.000473319,0.000473319
2,260.893,0.12068,0.97043,1,0.07977,0.000902644,0.000902644,0.000902644
3,393.987,0.10173,0.87903,1,0.5257,0.00128481,0.00128481,0.00128481
4,542.129,0.10465,0.9328,1,0.14981,0.00121679,0.00121679,0.00121679
5,689.372,0.09061,0.90054,1,0.17114,0.00114606,0.00114606,0.00114606
6,811.068,0.09135,0.99194,1,0.05308,0.00107532,0.00107532,0.00107532
7,933.67,0.06119,0.98387,1,0.05642,0.00100459,0.00100459,0.00100459
8,1054.17,0.05221,0.8871,1,0.19012,0.000933851,0.000933851,0.000933851
9,1180.01,0.04427,0.94892,1,0.08687,0.000863116,0.000863116,0.000863116
10,1300.05,0.03602,0.97312,1,0.0631,0.00079238,0.00079238,0.00079238
11,1415.58,0.03486,0.91667,1,0.22991,0.000721645,0.000721645,0.000721645
